[size=10][x=7][y=25][type=2] 	=> 0.000474
[size=20][x=6][y=7][type=1] 	=> 0.000472
[size=20][x=18][y=5][type=0] 	=> 0.000470
[size=20][x=4][y=6][type=1] 	=> 0.000468
[size=5][x=24][y=15][type=1] 	=> 0.000468
[size=5][x=14][y=8][type=0] 	=> 0.000465
[size=8][x=1][y=16][type=0] 	=> 0.000464
[size=8][x=13][y=23][type=1] 	=> 0.000463
[size=5][x=16][y=0][type=0] 	=> 0.000462
[size=8][x=29][y=8][type=0] 	=> 0.000462
[size=10][x=13][y=7][type=2] 	=> 0.000461
[size=10][x=29][y=28][type=0] 	=> 0.000461
[size=20][x=16][y=3][type=2] 	=> 0.000460
[size=20][x=17][y=13][type=2] 	=> 0.000458
[size=5][x=22][y=18][type=0] 	=> 0.000454
[size=10][x=9][y=3][type=2] 	=> 0.000453
[size=5][x=30][y=27][type=1] 	=> 0.000452
[size=8][x=21][y=15][type=1] 	=> 0.000452
[size=4][x=16][y=27][type=0] 	=> 0.000451
[size=10][x=6][y=25][type=2] 	=> 0.000450
[size=8][x=10][y=21][type=0] 	=> 0.000449
[size=10][x=24][y=19][type=1] 	=> 0.000449
[size=5][x=22][y=26][type=1] 	=> 0.000448
[size=4][x=29][y=18][type=0] 	=> 0.000447
[size=20][x=9][y=2][type=1] 	=> 0.000447
[size=20][x=13][y=12][type=1] 	=> 0.000446
[size=10][x=23][y=2][type=0] 	=> 0.000446
[size=4][x=29][y=21][type=1] 	=> 0.000445
[size=8][x=15][y=9][type=1] 	=> 0.000445
[size=8][x=21][y=16][type=2] 	=> 0.000444
[size=20][x=16][y=8][type=1] 	=> 0.000444
[size=8][x=9][y=30][type=0] 	=> 0.000442
[size=5][x=29][y=28][type=0] 	=> 0.000442
[size=20][x=9][y=11][type=1] 	=> 0.000441
[size=8][x=22][y=7][type=0] 	=> 0.000439
[size=20][x=2][y=18][type=2] 	=> 0.000439
[size=5][x=24][y=18][type=2] 	=> 0.000437
[size=10][x=15][y=0][type=1] 	=> 0.000437
[size=8][x=22][y=19][type=0] 	=> 0.000437
[size=20][x=12][y=19][type=0] 	=> 0.000437
[size=4][x=14][y=17][type=1] 	=> 0.000436
[size=8][x=22][y=29][type=0] 	=> 0.000434
[size=20][x=13][y=1][type=1] 	=> 0.000433
[size=20][x=15][y=11][type=0] 	=> 0.000433
[size=20][x=19][y=11][type=2] 	=> 0.000432
[size=5][x=12][y=15][type=2] 	=> 0.000432
[size=8][x=22][y=14][type=1] 	=> 0.000431
[size=10][x=14][y=15][type=1] 	=> 0.000431
[size=10][x=14][y=20][type=0] 	=> 0.000431
[size=8][x=16][y=25][type=1] 	=> 0.000431
[size=20][x=14][y=7][type=1] 	=> 0.000430
[size=20][x=8][y=5][type=0] 	=> 0.000430
[size=10][x=16][y=18][type=1] 	=> 0.000429
[size=8][x=13][y=18][type=1] 	=> 0.000429
[size=8][x=18][y=13][type=0] 	=> 0.000429
[size=5][x=27][y=15][type=0] 	=> 0.000428
[size=5][x=27][y=19][type=2] 	=> 0.000426
[size=8][x=8][y=18][type=0] 	=> 0.000425
[size=8][x=5][y=16][type=0] 	=> 0.000425
[size=10][x=1][y=28][type=0] 	=> 0.000424
[size=10][x=6][y=21][type=1] 	=> 0.000423
[size=10][x=13][y=14][type=1] 	=> 0.000422
[size=8][x=26][y=20][type=1] 	=> 0.000422
[size=8][x=16][y=16][type=0] 	=> 0.000421
[size=10][x=23][y=8][type=0] 	=> 0.000420
[size=20][x=4][y=6][type=2] 	=> 0.000420
[size=10][x=23][y=11][type=1] 	=> 0.000419
[size=10][x=20][y=22][type=0] 	=> 0.000417
[size=10][x=0][y=7][type=0] 	=> 0.000417
[size=5][x=6][y=10][type=0] 	=> 0.000417
[size=5][x=22][y=20][type=1] 	=> 0.000417
[size=10][x=9][y=21][type=1] 	=> 0.000416
[size=8][x=27][y=4][type=0] 	=> 0.000416
[size=20][x=16][y=17][type=1] 	=> 0.000414
[size=4][x=13][y=8][type=1] 	=> 0.000414
[size=10][x=18][y=2][type=1] 	=> 0.000412
[size=10][x=21][y=23][type=2] 	=> 0.000411
[size=5][x=28][y=4][type=2] 	=> 0.000411
[size=8][x=12][y=15][type=0] 	=> 0.000411
[size=20][x=14][y=3][type=1] 	=> 0.000410
[size=5][x=17][y=4][type=2] 	=> 0.000409
[size=8][x=11][y=22][type=0] 	=> 0.000409
[size=8][x=28][y=17][type=0] 	=> 0.000407
[size=8][x=18][y=22][type=0] 	=> 0.000406
[size=5][x=11][y=11][type=0] 	=> 0.000406
[size=8][x=0][y=29][type=0] 	=> 0.000405
[size=8][x=10][y=14][type=2] 	=> 0.000404
[size=8][x=25][y=13][type=0] 	=> 0.000403
[size=10][x=1][y=6][type=2] 	=> 0.000402
[size=10][x=20][y=25][type=0] 	=> 0.000402
[size=10][x=23][y=15][type=0] 	=> 0.000402
[size=4][x=19][y=28][type=1] 	=> 0.000400
[size=5][x=16][y=16][type=2] 	=> 0.000399
[size=8][x=15][y=30][type=1] 	=> 0.000399
[size=10][x=12][y=22][type=0] 	=> 0.000399
[size=20][x=6][y=17][type=2] 	=> 0.000398
[size=8][x=19][y=12][type=2] 	=> 0.000398
[size=10][x=9][y=19][type=0] 	=> 0.000396
[size=8][x=3][y=20][type=2] 	=> 0.000396
[size=8][x=16][y=11][type=1] 	=> 0.000395
[size=10][x=10][y=22][type=1] 	=> 0.000395
[size=10][x=11][y=15][type=1] 	=> 0.000395
[size=10][x=21][y=15][type=0] 	=> 0.000394
[size=8][x=19][y=6][type=1] 	=> 0.000394
[size=20][x=5][y=12][type=1] 	=> 0.000394
[size=10][x=15][y=8][type=1] 	=> 0.000392
[size=10][x=22][y=7][type=2] 	=> 0.000392
[size=10][x=24][y=19][type=0] 	=> 0.000391
[size=5][x=30][y=20][type=0] 	=> 0.000388
[size=4][x=18][y=11][type=0] 	=> 0.000388
[size=8][x=12][y=22][type=1] 	=> 0.000387
[size=5][x=1][y=15][type=1] 	=> 0.000387
[size=5][x=25][y=18][type=0] 	=> 0.000384
[size=10][x=1][y=14][type=0] 	=> 0.000384
[size=8][x=29][y=13][type=2] 	=> 0.000383
[size=8][x=18][y=15][type=0] 	=> 0.000383
[size=4][x=16][y=26][type=1] 	=> 0.000382
[size=5][x=19][y=23][type=1] 	=> 0.000382
[size=10][x=27][y=16][type=0] 	=> 0.000382
[size=10][x=23][y=9][type=0] 	=> 0.000380
[size=5][x=25][y=16][type=1] 	=> 0.000379
[size=10][x=22][y=21][type=0] 	=> 0.000378
[size=8][x=20][y=6][type=0] 	=> 0.000378
[size=8][x=18][y=25][type=1] 	=> 0.000376
[size=4][x=29][y=5][type=0] 	=> 0.000376
[size=20][x=9][y=15][type=2] 	=> 0.000375
[size=10][x=27][y=18][type=1] 	=> 0.000375
